FIPS Code,2020-10
05139,155.0
05141,0.0
05143,1505.0
05145,583.0
05147,0.0
05149,93.0
06001,2532.0
06003,0.0
06005,72.0
06007,315.0
06009,36.0
06011,41.0
06013,2230.0
06015,40.0
06017,262.0
06019,3191.0
06021,102.0
06023,80.0
06025,1371.0
06027,0.0
06029,2256.0
06031,910.0
06033,148.0
06035,42.0
06037,36721.0
06039,524.0
06041,407.0
06043,0.0
06045,167.0
06047,801.0
06049,0.0
06051,0.0
06053,1656.0
06055,429.0
06057,131.0
06059,6503.0
06061,981.0
06063,0.0
06065,9459.0
06067,3821.0
06069,118.0
06071,11033.0
06073,10162.0
06075,1265.0
06077,1981.0
06079,739.0
06081,1255.0
06083,796.0
06085,3844.0
06087,527.0
06089,1294.0
06091,0.0
06093,73.0
06095,1400.0
06097,2140.0
06099,1412.0
06101,230.0
06103,368.0
06105,0.0
06107,1670.0
06109,77.0
06111,1774.0
06113,515.0
06115,214.0
08001,1615.0
08003,0.0
08005,2332.0
08007,0.0
08009,0.0
08011,0.0
08013,480.0
08014,118.0
08015,22.0
08017,0.0
08019,0.0
08021,0.0
08023,0.0
08025,0.0
08027,0.0
08029,44.0
08031,2181.0
08033,0.0
08035,557.0
08037,136.0
08039,20.0
08041,1888.0
08043,633.0
08045,144.0
08047,0.0
08049,0.0
08051,0.0
08053,0.0
08055,0.0
08057,0.0
08059,2178.0
08061,0.0
08063,0.0
08065,0.0
08067,102.0
08069,279.0
08071,0.0
08073,0.0
08075,193.0
08077,560.0
08079,0.0
08081,0.0
08083,52.0
08085,46.0
08087,84.0
08089,0.0
08091,0.0
08093,0.0
08095,0.0
08097,0.0
08099,0.0
08101,1015.0
08103,0.0
08105,0.0
08107,29.0
08109,0.0
08111,0.0
08113,0.0
08115,0.0
08117,197.0
08119,102.0
08121,0.0
08123,832.0
08125,0.0
09001,4583.0
09003,4046.0
09005,530.0
09007,558.0
09009,3491.0
09011,1845.0
09013,436.0
09015,497.0
10001,428.0
10003,2486.0
10005,1206.0
11001,0.0
12001,1996.0
12003,213.0
12005,572.0
12007,84.0
12009,1523.0
12011,9499.0
12013,0.0
12015,510.0
12017,428.0
12019,945.0
12021,1547.0
12023,298.0
12027,110.0
12029,0.0
12031,4187.0
12033,1101.0
12035,332.0
12037,0.0
12039,456.0
12041,0.0
12043,0.0
12045,0.0
12047,0.0
12049,180.0
12051,127.0
12053,638.0
12055,517.0
12057,6373.0
12059,0.0
12061,699.0
12063,366.0
12065,0.0
12067,0.0
12069,1163.0
12071,2387.0
12073,2074.0
12075,115.0
12077,0.0
12079,0.0
12081,1646.0
12083,2358.0
12085,624.0
12086,43934.0
12087,325.0
12089,154.0
12091,1210.0
12093,162.0
12095,9902.0
12097,2007.0
12099,9429.0
12101,1341.0
12103,3534.0
12105,2432.0
12107,289.0
12109,939.0
12111,954.0
12113,438.0
12115,1379.0
12117,1925.0
12119,393.0
12121,257.0
12123,126.0
12125,0.0
12127,1868.0
12129,93.0
12131,245.0
12133,292.0
13001,0.0
13003,0.0
13005,0.0
13007,0.0
13009,128.0
13011,0.0
13013,301.0
13015,724.0
13017,0.0
13019,0.0
13021,489.0
13023,0.0
13025,0.0
13027,0.0
