,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
104,0.1645,0.02,0.0107,0.01,0.002,0.7729,0.6768000000000001
105,0.1142,0.4353,0.0059,0.0074,0.0013,0.4128,0.06790000000000007
106,0.3725,0.0245,0.0279,0.0326,0.0014,0.5173,0.30310000000000004
107,0.3016,0.043,0.0158,0.0408,0.0029,0.5679,0.4098999999999998
108,0.8346,0.0022,0.0083,0.0024,0.0,0.1485,-0.14249999999999985
109,0.1454,0.0127,0.0092,0.0062,0.0006,0.8046,0.6079000000000001
110,0.6376,0.0092,0.0119,0.0168,0.0006,0.3097,0.14990000000000003
111,0.0319,0.0017,0.0004,0.2588,0.0,0.6976,0.5112
112,0.0543,0.0022,0.0019,0.2527,0.0,0.6823,0.5369
113,0.0238,0.0042,0.0043,0.0016,0.0004,0.9471,0.7977
114,0.1662,0.0126,0.0384,0.0165,0.0061,0.7333,0.6262
115,0.0249,0.0057,0.0037,0.0033,0.0009,0.9387,0.8105
116,0.1539,0.0,0.0006,0.28800000000000003,0.0,0.555,0.37649999999999995
117,0.0399,0.0017,0.0,0.2148,0.0031,0.7246,0.6205
118,0.1496,0.0074,0.0138,0.005,0.0092,0.7962,0.646
119,0.055,0.0014,0.0058,0.5388,0.0,0.3873,0.21900000000000008
120,0.0473,0.0036,0.006999999999999999,0.2424,0.0003,0.6869,0.5074
121,0.0206,0.003,0.0003,0.0067,0.0,0.9534,0.7694
122,0.0243,0.0117,0.0067,0.0039,0.0,0.9467,0.7914
123,0.0124,0.0017,0.0,0.128,0.0,0.8457,0.6459
124,0.0271,0.0019,0.0107,0.3592,0.0,0.5927,0.43910000000000005
125,0.0392,0.0025,0.003,0.1026,0.0,0.8159,0.6547
126,0.0505,0.0019,0.0141,0.145,0.0001,0.7603,0.6164000000000001
127,0.0773,0.0179,0.0185,0.0139,0.0002,0.8427,0.7272000000000001
128,0.0256,0.0027,0.0069,0.4782,0.0004,0.4199,0.34520000000000006
129,0.0099,0.0021,0.0003,0.1867,0.0,0.7265,0.63
130,0.0135,0.0056,0.0005,0.4322,0.0025,0.5313,0.3447
131,0.0613,0.002,0.0044,0.466,0.0,0.4523,0.24729999999999996
132,0.0343,0.0,0.0033,0.2861,0.0,0.6628,0.49029999999999996
133,0.0409,0.0038,0.0133,0.1134,0.0012,0.8004,0.6424000000000001
134,0.0302,0.0114,0.0082,0.0095,0.0019,0.9205,0.7327999999999999
135,0.016,0.0033,0.0007,0.0047,0.0007,0.9491,0.8555999999999999
136,0.0563,0.0085,0.006,0.0817,0.0,0.8206,0.6685
137,0.0275,0.0015,0.0004,0.0257,0.0007,0.9257,0.8042
138,0.0285,0.0027,0.0036,0.0192,0.0003,0.93,0.7787000000000001
139,0.1282,0.0032,0.0012,0.2998,0.0033,0.5461,0.48529999999999995
140,0.035,0.0045,0.004,0.1136,0.0002,0.8253,0.6887
141,0.1254,0.0023,0.0027,0.2088,0.0009,0.6414,0.4769
142,0.0631,0.0019,0.0071,0.0181,0.0002,0.8871,0.7846
143,0.0231,0.0096,0.0,0.0183,0.0,0.9293,0.7969999999999999
144,0.0289,0.0015,0.0005,0.122,0.0004,0.7683,0.6797
145,0.021,0.0028,0.0095,0.5649,0.0013,0.3888,0.26750000000000007
146,0.1392,0.0024,0.0206,0.0156,0.0008,0.7918,0.6643999999999999
147,0.0268,0.0041,0.004,0.3576,0.0,0.5859,0.4645
148,0.0155,0.0027,0.0015,0.0112,0.0001,0.9526,0.8150000000000001
149,0.025,0.0024,0.0016,0.5533,0.0,0.4104,0.30469999999999997
150,0.0393,0.0047,0.0,0.3052,0.0,0.642,0.5337999999999999
151,0.0153,0.0104,0.0034,0.2195,0.0,0.7289,0.6424000000000001
152,0.0298,0.0084,0.0219,0.0138,0.0,0.9044,0.7631
153,0.0447,0.0065,0.0078,0.0564,0.0027,0.86,0.7259
154,0.0572,0.0102,0.012,0.001,0.0059,0.8933,0.7947
155,0.023,0.0065,0.0089,0.0049,0.0,0.941,0.8497
156,0.0333,0.0069,0.004,0.2464,0.0004,0.6847,0.6659999999999999
157,0.0413,0.0006,0.0056,0.3374,0.0008,0.5828,0.4943000000000001
158,0.0064,0.003,0.0043,0.4298,0.0,0.5416,0.4085
159,0.0434,0.0147,0.004,0.0029,0.0,0.9093,0.757
160,0.0002,0.0016,0.0004,0.3453,0.0002,0.6281,0.5513
161,0.0042,0.0251,0.0065,0.0003,0.0077,0.9389,0.8382
162,0.0234,0.0008,0.0008,0.414,0.0,0.5513,0.406
163,0.0293,0.0005,0.0,0.0054,0.0,0.9546,0.7708
164,0.0188,0.0001,0.0,0.6315,0.0,0.345,0.2026000000000001
165,0.0651,0.0052,0.0043,0.0408,0.0,0.8737,0.7436
166,0.0304,0.0009,0.0005,0.0457,0.0,0.8681,0.7685
167,0.0659,0.0135,0.0028,0.0047,0.0,0.8759999999999999,0.8070999999999999
168,0.0902,0.0061,0.0103,0.0293,0.0,0.8401,0.7001000000000001
169,0.0173,0.0044,0.0021,0.1242,0.0,0.8465,0.738
170,0.0615,0.0024,0.022000000000000002,0.3667,0.0003,0.5227,0.32309999999999994
171,0.0207,0.0064,0.0012,0.0109,0.0032,0.9390000000000001,0.8376
172,0.0519,0.0029,0.0062,0.5314,0.0014,0.3997,0.2542000000000001
173,0.0476,0.0032,0.0127,0.0709,0.0012,0.8459,0.6784
174,0.077,0.019,0.0072,0.0024,0.0,0.8435,0.7454000000000001
175,0.0242,0.0176,0.006999999999999999,0.0061,0.0,0.9313,0.8061
176,0.1422,0.0103,0.0448,0.0671,0.0001,0.6956,0.5945
177,0.3343,0.0203,0.0044,0.0479,0.0047,0.5728,0.4633999999999999
178,0.0228,0.0033,0.0008,0.0072,0.0,0.9344,0.8509
179,0.0195,0.0046,0.0051,0.0009,0.0,0.9465,0.8219
180,0.04,0.0074,0.0065,0.3266,0.0,0.6052,0.49350000000000005
181,0.0312,0.0061,0.0022,0.0047,0.0013,0.9347,0.7925
182,0.1678,0.0078,0.0241,0.0358,0.0227,0.7089,0.5808
183,0.0434,0.0058,0.0074,0.0423,0.0,0.8807,0.7411000000000001
184,0.0046,0.0,0.009000000000000001,0.2815,0.0,0.6939,0.4959
185,0.2015,0.0043,0.0099,0.0207,0.0,0.7527,0.5935999999999999
186,0.2239,0.0031,0.2994,0.1033,0.008,0.3141,0.11430000000000007
187,0.1251,0.3022,0.0096,0.0087,0.0,0.5303,0.5544
188,0.139,0.0065,0.0124,0.0221,0.0014,0.7816,0.6425999999999998
189,0.1635,0.0075,0.0445,0.0148,0.0021,0.7198,0.5536000000000001
190,0.1206,0.004,0.015,0.0069,0.0004,0.8094,0.6480999999999999
191,0.5937,0.0067,0.0127,0.0119,0.0018,0.3531,0.20619999999999994
192,0.2559,0.002,0.1648,0.084,0.0046,0.4383,0.2277
193,0.1975,0.0707,0.0314,0.0327,0.0016,0.6193,0.5371
194,0.1283,0.0055,0.045,0.0076,0.0025,0.7782,0.6021000000000001
195,0.5306,0.0047,0.10099999999999999,0.0449,0.0012,0.2942,0.13360000000000005
196,0.4175,0.013999999999999999,0.0295,0.0069,0.0004,0.5147,0.3347000000000001
197,0.1157,0.0461,0.03,0.0098,0.0032,0.7435,0.5811999999999999
198,0.8421,0.0061,0.0131,0.0215,0.0013,0.1064,-0.060100000000000264
199,0.2236,0.1017,0.0181,0.0078,0.0019,0.6215,0.6469
200,0.5333,0.0048,0.0459,0.0516,0.0013,0.3416,0.21109999999999995
201,0.5449,0.0085,0.0369,0.0583,0.0016,0.3221,0.2417999999999999
202,0.20600000000000002,0.03,0.0107,0.0207,0.0007,0.705,0.4958999999999999
203,0.1896,0.0274,0.0139,0.0848,0.008,0.6543,0.5453
204,0.4849,0.0021,0.1443,0.0784,0.0024,0.262,0.0969000000000001
205,0.5777,0.0099,0.0194,0.0307,0.0009,0.3413,0.1854
206,0.1598,0.0017,0.0581,0.0213,0.001,0.7115,0.42510000000000003
207,0.1127,0.0187,0.0121,0.0145,0.003,0.7999,0.839
208,0.2511,0.0337,0.0203,0.0072,0.0019,0.6519,0.40480000000000005
209,0.5963,0.0034,0.0724,0.0288,0.0022,0.2765,0.16989999999999994
210,0.1449,0.0418,0.0111,0.0153,0.001,0.7769,0.7859
211,0.2701,0.0169,0.0254,0.0041,0.0,0.6505,0.6835
212,0.5867,0.0019,0.0539,0.0248,0.0046,0.2993,0.1560999999999999
213,0.3405,0.0029,0.0802,0.0199,0.002,0.5243,0.2755000000000001
214,0.0944,0.0042,0.0105,0.0048,0.0012,0.8516,0.6779
215,0.3405,0.0019,0.2029,0.0162,0.0028,0.4059,0.24170000000000003
216,0.14,0.0036,0.0741,0.0165,0.0015,0.7266,0.5163
217,0.0895,0.0144,0.0114,0.0076,0.0046,0.8314,0.8725
218,0.4891,0.0043,0.0632,0.061,0.0027,0.3532,0.20369999999999988
219,0.2318,0.0036,0.1544,0.0949,0.0112,0.4472,0.31510000000000005
220,0.5976,0.0031,0.0291,0.0075,0.0006,0.3429,0.21709999999999996
221,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853,0.15159999999999996
222,0.337,0.0038,0.1163,0.0471,0.0038,0.4556,0.31299999999999994
223,0.1524,0.0019,0.3407,0.05,0.0034,0.4051,0.2146
224,0.414,0.0023,0.152,0.0674,0.0055,0.3185,0.19080000000000008
225,0.2252,0.0054,0.0353,0.0174,0.0009,0.6889,0.5388
226,0.244,0.0015,0.2831,0.0218,0.0132,0.3924,0.1724
227,0.4537,0.0036,0.0537,0.0189,0.0009,0.4451,0.2781999999999999
228,0.2547,0.0017,0.3628,0.0235,0.0032,0.3154,0.1381000000000001
229,0.3357,0.0015,0.0456,0.0091,0.0007,0.5727,0.36340000000000006
230,0.1003,0.0218,0.0321,0.0113,0.0014,0.7979999999999999,0.6891
231,0.1066,0.0095,0.0,0.0007,0.0,0.8757,0.8832
232,0.1258,0.032,0.016,0.0157,0.0029,0.7609999999999999,0.5926
233,0.2645,0.0028,0.1499,0.135,0.0089,0.3804,0.2508999999999999
234,0.2673,0.0047,0.0402,0.0148,0.003,0.6323,0.3999999999999999
235,0.4626,0.0046,0.0539,0.0282,0.0067,0.4186,0.2779999999999999
236,0.3095,0.0065,0.1552,0.0175,0.0039,0.4621,0.3084000000000001
237,0.2497,0.0139,0.0151,0.0074,0.0002,0.6834,0.5887
238,0.073,0.055,0.0165,0.01,0.0022,0.821,0.8432999999999999
239,0.6457,0.006,0.0324,0.0125,0.0014,0.2852,0.14100000000000001
240,0.1224,0.0141,0.0135,0.0175,0.0023,0.8019,0.5741999999999999
241,0.4268,0.0024,0.0717,0.0169,0.0017,0.4542,0.26549999999999996
242,0.3161,0.0031,0.1387,0.0243,0.0041,0.4668,0.28970000000000007
243,0.2824,0.0078,0.0665,0.0334,0.0039,0.5519,0.46699999999999997
244,0.4003,0.0045,0.0387,0.032,0.0011,0.5002,0.4474
245,0.4677,0.0191,0.0097,0.0049,0.0037,0.4763,0.3878999999999999
246,0.1923,0.0038,0.0594,0.1049,0.0022,0.6028,0.5484
247,0.1837,0.0113,0.0095,0.013999999999999999,0.0011,0.7633,0.6574
248,0.1095,0.016,0.0,0.0095,0.0008,0.8484,0.7862
249,0.3205,0.0041,0.0021,0.0365,0.0,0.6337,0.6038
250,0.1387,0.0028,0.0471,0.0084,0.0006,0.7757,0.6924
251,0.1238,0.0034,0.065,0.0114,0.0,0.7677,0.6814
252,0.1004,0.004,0.0142,0.0169,0.0,0.8493,0.7464999999999999
253,0.1708,0.0,0.0217,0.001,0.002,0.7779,0.7455
254,0.0697,0.0011,0.0096,0.0108,0.0015,0.887,0.8233
255,0.5245,0.0089,0.0016,0.0049,0.0033,0.4456,0.30879999999999996
256,0.6187,0.004,0.0128,0.0037,0.0,0.3338,0.19079999999999986
257,0.3186,0.0115,0.0054,0.0353,0.0,0.6152,0.5962
258,0.0921,0.0092,0.0,0.0289,0.0,0.8515,0.8148
259,0.1521,0.0071,0.0086,0.0058,0.0,0.8133,0.7333999999999999
260,0.299,0.0045,0.0365,0.0889,0.0013,0.5417,0.4878
261,0.0705,0.0167,0.0,0.0,0.0,0.8977,0.7898000000000001
262,0.0869,0.0025,0.0473,0.0133,0.0007,0.8223,0.7403
263,0.2959,0.002,0.0065,0.0112,0.0006,0.672,0.5208
264,0.07,0.0062,0.0082,0.004,0.0004,0.8852,0.8351999999999999
265,0.171,0.0035,0.0275,0.0599,0.0035,0.691,0.6115999999999999
266,0.1329,0.0116,0.0066,0.0443,0.0001,0.7909,0.7175
267,0.2843,0.0039,0.009000000000000001,0.0048,0.0004,0.6814,0.6396
268,0.0836,0.0203,0.0,0.0033,0.0,0.8529,0.8258
269,0.0882,0.0,0.0139,0.0103,0.0011,0.8729,0.7985
270,0.0942,0.0091,0.0034,0.004,0.0021,0.8694,0.7792
271,0.0572,0.0175,0.0047,0.0,0.0,0.8996,0.7926
272,0.3429,0.0057,0.0,0.0015,0.0,0.6113,0.5259
273,0.1745,0.0,0.0,0.0,0.0,0.8216,0.7385
274,0.1537,0.0044,0.0278,0.0107,0.0005,0.7812,0.6889000000000001
275,0.0484,0.0,0.0,0.004,0.0,0.9167,0.8795999999999999
276,0.1908,0.0039,0.0019,0.025,0.0026,0.7696,0.6898
277,0.3236,0.0129,0.0084,0.0012,0.0004,0.6384,0.5665
278,0.1278,0.0554,0.006999999999999999,0.0044,0.0001,0.7855,0.6123000000000001
279,0.1151,0.005,0.0216,0.0093,0.0008,0.8259,0.7412
280,0.415,0.0168,0.0096,0.0075,0.0,0.5289,0.44009999999999994
281,0.2254,0.0079,0.0041,0.0809,0.0023,0.6711,0.5824
282,0.1675,0.0076,0.0083,0.0083,0.0094,0.762,0.7359
283,0.1454,0.0067,0.0093,0.0059,0.0011,0.8138,0.6786000000000001
284,0.0959,0.0,0.0049,0.0097,0.0,0.8641,0.7475
285,0.1557,0.0054,0.0014,0.0099,0.0,0.8032,0.7816000000000001
286,0.1252,0.1205,0.0075,0.0024,0.0007,0.7243,0.5627
287,0.2062,0.0078,0.0083,0.0028,0.0027,0.7605,0.5732
288,0.3614,0.0019,0.0053,0.0364,0.0018,0.5819,0.5022
289,0.4189,0.0038,0.0087,0.0062,0.0007,0.5312,0.4706999999999999
290,0.0202,0.0033,0.0073,0.0031,0.0006,0.9570000000000001,0.7315
291,0.0611,0.0029,0.0056,0.0015,0.0013,0.8895,0.8316
292,0.2394,0.0,0.0051,0.0012,0.0,0.7408,0.6893
293,0.1009,0.0,0.0221,0.0092,0.0,0.8533,0.7747999999999999
294,0.3804,0.0039,0.0058,0.0079,0.0,0.5889,0.5249999999999999
295,0.4299,0.0072,0.0063,0.0159,0.0007,0.5206,0.43899999999999995
296,0.1026,0.0114,0.0013,0.0047,0.0,0.8465,0.806
297,0.4441,0.0126,0.0007,0.0055,0.001,0.5207,0.3901
298,0.0695,0.0036,0.0114,0.0093,0.0002,0.8972,0.748
299,0.3632,0.0161,0.0,0.005,0.0,0.5859,0.5637
300,0.0849,0.0102,0.0,0.0,0.0,0.8879,0.8299000000000001
301,0.1067,0.0062,0.0168,0.0001,0.0,0.8584,0.6992
302,0.1344,0.0013,0.0095,0.0082,0.0,0.8445,0.7396
303,0.14300000000000002,0.0035,0.0058,0.0102,0.0018,0.8213,0.7137
304,0.0658,0.0039,0.0079,0.0085,0.0003,0.8875,0.8186
