,Patients,Hospitalized,ICU,Death
06071,66992.0,4197.0,607.0,911.0
06073,59226.0,4169.0,939.0,513.0
06075,12765.0,701.0,153.0,0.0
06077,22494.0,1733.0,437.0,251.0
06079,4458.0,237.0,41.0,0.0
06081,11550.0,216.0,62.0,56.0
06083,10353.0,571.0,94.0,0.0
06085,26233.0,2239.0,463.0,128.0
06087,3009.0,199.0,36.0,0.0
06089,2602.0,110.0,20.0,0.0
06091,0.0,0.0,0.0,0.0
06093,216.0,15.0,6.0,0.0
06095,7932.0,505.0,123.0,0.0
06097,10111.0,501.0,99.0,62.0
06099,18167.0,1232.0,147.0,125.0
06101,1918.0,67.0,15.0,0.0
06103,1001.0,42.0,19.0,0.0
06105,0.0,0.0,0.0,0.0
06107,18041.0,980.0,108.0,42.0
06109,305.0,25.0,7.0,0.0
06111,15151.0,1171.0,253.0,13.0
06113,3398.0,261.0,83.0,0.0
06115,1303.0,41.0,8.0,0.0
08001,10098.0,1137.0,1.0,86.0
08003,0.0,0.0,0.0,0.0
08005,11534.0,1555.0,8.0,343.0
08007,0.0,0.0,0.0,0.0
08009,0.0,0.0,0.0,0.0
08011,0.0,0.0,0.0,0.0
08013,3544.0,291.0,3.0,53.0
08014,673.0,76.0,4.0,0.0
08015,304.0,7.0,0.0,0.0
08017,0.0,0.0,0.0,0.0
08019,0.0,0.0,0.0,0.0
08021,0.0,0.0,0.0,0.0
08023,0.0,0.0,0.0,0.0
08025,0.0,0.0,0.0,0.0
08027,0.0,0.0,0.0,0.0
08029,196.0,15.0,0.0,0.0
08031,14149.0,1884.0,111.0,258.0
08033,0.0,0.0,0.0,0.0
08035,2887.0,296.0,0.0,60.0
08037,1302.0,64.0,1.0,0.0
08039,124.0,16.0,0.0,0.0
08041,8420.0,759.0,29.0,141.0
08043,777.0,20.0,0.0,0.0
08045,1028.0,66.0,0.0,0.0
08047,0.0,0.0,0.0,0.0
08049,0.0,0.0,0.0,0.0
08051,0.0,0.0,0.0,0.0
08053,0.0,0.0,0.0,0.0
08055,0.0,0.0,0.0,0.0
08057,0.0,0.0,0.0,0.0
08059,7401.0,771.0,55.0,218.0
08061,0.0,0.0,0.0,0.0
08063,0.0,0.0,0.0,0.0
08065,0.0,0.0,0.0,0.0
08067,349.0,19.0,1.0,0.0
08069,2417.0,190.0,1.0,11.0
08071,0.0,0.0,0.0,0.0
08073,0.0,0.0,0.0,0.0
08075,961.0,46.0,0.0,0.0
08077,1094.0,80.0,2.0,28.0
08079,0.0,0.0,0.0,0.0
08081,0.0,0.0,0.0,0.0
08083,160.0,19.0,0.0,0.0
08085,373.0,40.0,0.0,0.0
08087,783.0,120.0,3.0,12.0
08089,0.0,0.0,0.0,0.0
08091,0.0,0.0,0.0,0.0
08093,0.0,0.0,0.0,0.0
08095,0.0,0.0,0.0,0.0
08097,0.0,0.0,0.0,0.0
08099,0.0,0.0,0.0,0.0
08101,2010.0,240.0,11.0,18.0
08103,0.0,0.0,0.0,0.0
08105,0.0,0.0,0.0,0.0
08107,147.0,6.0,0.0,0.0
08109,0.0,0.0,0.0,0.0
08111,0.0,0.0,0.0,0.0
08113,0.0,0.0,0.0,0.0
08115,0.0,0.0,0.0,0.0
08117,563.0,38.0,5.0,0.0
08119,248.0,21.0,0.0,0.0
08121,0.0,0.0,0.0,0.0
08123,5187.0,813.0,23.0,80.0
08125,0.0,0.0,0.0,0.0
09001,25100.0,2072.0,0.0,1145.0
09003,18896.0,2260.0,0.0,1214.0
09005,2459.0,257.0,0.0,108.0
09007,2166.0,277.0,0.0,104.0
09009,18145.0,2774.0,0.0,891.0
09011,3948.0,141.0,0.0,67.0
09013,1710.0,106.0,0.0,11.0
09015,1458.0,55.0,0.0,0.0
10001,3040.0,12.0,1.0,0.0
10003,12365.0,22.0,0.0,0.0
10005,7418.0,8.0,0.0,0.0
11001,0.0,0.0,0.0,0.0
12001,7391.0,263.0,0.0,11.0
12003,1512.0,69.0,0.0,0.0
12005,5150.0,299.0,0.0,104.0
12007,1135.0,58.0,0.0,0.0
12009,8928.0,739.0,0.0,324.0
12011,79252.0,4982.0,2.0,1377.0
12013,0.0,0.0,0.0,0.0
12015,3148.0,290.0,0.0,106.0
12017,3040.0,238.0,0.0,118.0
12019,4633.0,291.0,2.0,79.0
12021,12045.0,695.0,0.0,90.0
12023,3423.0,165.0,0.0,31.0
12027,1663.0,90.0,0.0,0.0
12029,0.0,0.0,0.0,0.0
12031,18760.0,992.0,0.0,457.0
12033,10706.0,640.0,0.0,238.0
12035,1776.0,130.0,0.0,0.0
12037,0.0,0.0,0.0,0.0
12039,2269.0,165.0,0.0,0.0
12041,0.0,0.0,0.0,0.0
12043,0.0,0.0,0.0,0.0
12045,0.0,0.0,0.0,0.0
12047,0.0,0.0,0.0,0.0
12049,1434.0,103.0,0.0,0.0
12051,2046.0,164.0,0.0,0.0
12053,3225.0,292.0,0.0,168.0
12055,2513.0,197.0,0.0,59.0
12057,35910.0,1555.0,2.0,749.0
12059,0.0,0.0,0.0,0.0
12061,3120.0,264.0,0.0,64.0
12063,2656.0,149.0,0.0,11.0
12065,0.0,0.0,0.0,0.0
12067,0.0,0.0,0.0,0.0
12069,5216.0,558.0,0.0,164.0
12071,19298.0,1330.0,3.0,462.0
12073,9032.0,220.0,0.0,38.0
12075,1043.0,65.0,0.0,0.0
12077,0.0,0.0,0.0,0.0
12079,0.0,0.0,0.0,0.0
12081,10065.0,742.0,0.0,181.0
12083,10034.0,853.0,0.0,286.0
12085,4847.0,304.0,0.0,74.0
12086,168954.0,6128.0,1.0,4215.0
12087,1922.0,99.0,0.0,0.0
12089,1496.0,120.0,0.0,34.0
12091,5584.0,269.0,0.0,98.0
12093,1475.0,115.0,0.0,0.0
12095,32018.0,1290.0,0.0,353.0
12097,11330.0,709.0,0.0,72.0
12099,46376.0,3240.0,1.0,1544.0
12101,9783.0,802.0,0.0,194.0
12103,23122.0,2075.0,0.0,847.0
12105,16243.0,1907.0,0.0,548.0
12107,2233.0,235.0,0.0,0.0
12109,5098.0,236.0,0.0,27.0
12111,6656.0,597.0,0.0,194.0
12113,5075.0,257.0,1.0,35.0
12115,6223.0,601.0,1.0,273.0
12117,8098.0,529.0,0.0,213.0
12119,2394.0,222.0,0.0,25.0
12121,2662.0,116.0,0.0,0.0
12123,1279.0,35.0,0.0,0.0
12125,0.0,0.0,0.0,0.0
12127,10241.0,781.0,0.0,198.0
12129,1000.0,39.0,0.0,0.0
12131,1633.0,87.0,0.0,0.0
12133,978.0,45.0,0.0,0.0
13001,0.0,0.0,0.0,0.0
13003,0.0,0.0,0.0,0.0
13005,0.0,0.0,0.0,0.0
13007,0.0,0.0,0.0,0.0
13009,1299.0,16.0,0.0,0.0
13011,0.0,0.0,0.0,0.0
13013,1409.0,22.0,0.0,0.0
13015,2928.0,4.0,0.0,0.0
13017,0.0,0.0,0.0,0.0
13019,0.0,0.0,0.0,0.0
