FIPS Code,Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
2220,0.4,Moderate Vulnerability,0.55,0.0676,0.123,0.0666,0.0071,0.0009,0.6157,0.11909999999999998
2230,0.17,Very Low Vulnerability,0.603,0.0569,0.0506,0.0081,0.0334,0.0,0.8211,0.029899999999999927
2240,0.58,Moderate Vulnerability,0.192,0.0606,0.1387,0.0266,0.0032,0.0006,0.7366,0.03369999999999995
2261,0.27,Low Vulnerability,0.318,0.0524,0.1389,0.0407,0.0038,0.0063,0.6931,0.06479999999999997
2275,0.56,Moderate Vulnerability,0.408,0.0504,0.2218,0.0072,0.0004,0.0036,0.6187,0.09789999999999999
2282,0.59,Moderate Vulnerability,0.581,0.077,0.3606,0.0493,0.0077,0.0123,0.433,0.06010000000000004
2290,0.88,Very High Vulnerability,0.537,0.0266,0.6837,0.0071,0.0007,0.0004,0.2155,0.06600000000000006
4001,0.99,Very High Vulnerability,0.515,0.0634,0.7311,0.0034,0.0052,0.0002,0.1821,0.014600000000000057
4003,0.91,Very High Vulnerability,0.199,0.3545,0.0091,0.0193,0.0367,0.0033,0.5499,0.02719999999999989
4005,0.71,High Vulnerability,0.391,0.1411,0.2576,0.0187,0.0112,0.0017,0.5405,0.029200000000000115
4007,0.9,Very High Vulnerability,0.351,0.1875,0.1607,0.0079,0.0065,0.0,0.6225,0.014899999999999913
4009,0.96,Very High Vulnerability,0.279,0.3301,0.1253,0.0063,0.0182,0.0012,0.5086,0.010299999999999976
4011,0.62,High Vulnerability,0.329,0.468,0.0358,0.0055,0.0205,0.0,0.4662,0.0040000000000000036
4012,0.92,Very High Vulnerability,0.206,0.2758,0.115,0.0073,0.0088,0.0005,0.574,0.018600000000000172
4013,0.64,High Vulnerability,0.199,0.3099,0.0162,0.0409,0.0531,0.002,0.5524,0.025500000000000078
4015,0.86,Very High Vulnerability,0.116,0.1645,0.02,0.0107,0.01,0.002,0.7729,0.01990000000000003
4017,1.0,Very High Vulnerability,0.368,0.1142,0.4353,0.0059,0.0074,0.0013,0.4128,0.02310000000000012
4019,0.88,Very High Vulnerability,0.238,0.3725,0.0245,0.0279,0.0326,0.0014,0.5173,0.023800000000000043
4021,0.86,Very High Vulnerability,0.186,0.3016,0.043,0.0158,0.0408,0.0029,0.5679,0.028000000000000025
4023,0.93,Very High Vulnerability,0.295,0.8346,0.0022,0.0083,0.0024,0.0,0.1485,0.004000000000000115
4025,0.52,Moderate Vulnerability,0.218,0.1454,0.0127,0.0092,0.0062,0.0006,0.8046,0.021299999999999986
4027,0.99,Very High Vulnerability,0.174,0.6376,0.0092,0.0119,0.0168,0.0006,0.3097,0.01419999999999999
5001,0.78,High Vulnerability,0.196,0.0319,0.0017,0.0004,0.2588,0.0,0.6976,0.009600000000000053
5003,0.86,Very High Vulnerability,0.152,0.0543,0.0022,0.0019,0.2527,0.0,0.6823,0.006599999999999939
5005,0.28,Low Vulnerability,0.168,0.0238,0.0042,0.0043,0.0016,0.0004,0.9471,0.01859999999999995
5007,0.27,Low Vulnerability,0.134,0.1662,0.0126,0.0384,0.0165,0.0061,0.7333,0.026900000000000146
5009,0.44,Moderate Vulnerability,0.151,0.0249,0.0057,0.0037,0.0033,0.0009,0.9387,0.022800000000000042
5011,0.98,Very High Vulnerability,0.181,0.1539,0.0,0.0006,0.288,0.0,0.555,0.0024999999999999467
5013,0.55,Moderate Vulnerability,0.12,0.0399,0.0017,0.0,0.2148,0.0031,0.7246,0.015900000000000025
5015,0.6,Moderate Vulnerability,0.169,0.1496,0.0074,0.0138,0.005,0.0092,0.7962,0.018799999999999928
5017,1.0,Very High Vulnerability,0.18,0.055,0.0014,0.0058,0.5388,0.0,0.3873,0.011700000000000044
5019,0.79,High Vulnerability,0.192,0.0473,0.0036,0.007,0.2424,0.0003,0.6869,0.012499999999999956
5021,0.65,High Vulnerability,0.2,0.0206,0.003,0.0003,0.0067,0.0,0.9534,0.016000000000000014
5023,0.21,Low Vulnerability,0.162,0.0243,0.0117,0.0067,0.0039,0.0,0.9467,0.006700000000000039
5025,0.56,Moderate Vulnerability,0.212,0.0124,0.0017,0.0,0.128,0.0,0.8457,0.012199999999999989
5027,0.94,Very High Vulnerability,0.162,0.0271,0.0019,0.0107,0.3592,0.0,0.5927,0.008399999999999963
5029,0.76,High Vulnerability,0.198,0.0392,0.0025,0.003,0.1026,0.0,0.8159,0.036800000000000055
5031,0.8,Very High Vulnerability,0.172,0.0505,0.0019,0.0141,0.145,0.0001,0.7603,0.028100000000000014
5033,0.61,High Vulnerability,0.145,0.0773,0.0179,0.0185,0.0139,0.0002,0.8427,0.02949999999999997
5035,0.93,Very High Vulnerability,0.141,0.0256,0.0027,0.0069,0.4782,0.0004,0.4199,0.06630000000000003
5037,0.7,High Vulnerability,0.171,0.0099,0.0021,0.0003,0.1867,0.0,0.7265,0.07450000000000001
5039,0.88,Very High Vulnerability,0.201,0.0135,0.0056,0.0005,0.4322,0.0025,0.5313,0.014399999999999968
5041,0.96,Very High Vulnerability,0.219,0.0613,0.002,0.0044,0.466,0.0,0.4523,0.014000000000000012
5043,0.8,Very High Vulnerability,0.186,0.0343,0.0,0.0033,0.2861,0.0,0.6628,0.013500000000000068
5045,0.48,Moderate Vulnerability,0.185,0.0409,0.0038,0.0133,0.1134,0.0012,0.8004,0.027000000000000024
5047,0.59,Moderate Vulnerability,0.206,0.0302,0.0114,0.0082,0.0095,0.0019,0.9205,0.018299999999999983
5049,0.67,High Vulnerability,0.119,0.016,0.0033,0.0007,0.0047,0.0007,0.9491,0.025499999999999967
5051,0.83,Very High Vulnerability,0.179,0.0563,0.0085,0.006,0.0817,0.0,0.8206,0.026900000000000035
5053,0.35,Low Vulnerability,0.14,0.0275,0.0015,0.0004,0.0257,0.0007,0.9257,0.018500000000000072
5055,0.58,Moderate Vulnerability,0.167,0.0285,0.0027,0.0036,0.0192,0.0003,0.93,0.015699999999999936
5057,0.95,Very High Vulnerability,0.079,0.1282,0.0032,0.0012,0.2998,0.0033,0.5461,0.018199999999999994
5059,0.82,Very High Vulnerability,0.154,0.035,0.0045,0.004,0.1136,0.0002,0.8253,0.01739999999999997
5061,0.9,Very High Vulnerability,0.183,0.1254,0.0023,0.0027,0.2088,0.0009,0.6414,0.01849999999999996
5063,0.75,High Vulnerability,0.125,0.0631,0.0019,0.0071,0.0181,0.0002,0.8871,0.022499999999999964
5065,0.57,Moderate Vulnerability,0.152,0.0231,0.0096,0.0,0.0183,0.0,0.9293,0.01969999999999994
5067,0.76,High Vulnerability,0.167,0.0289,0.0015,0.0005,0.122,0.0004,0.7683,0.07840000000000003
5069,0.94,Very High Vulnerability,0.133,0.021,0.0028,0.0095,0.5649,0.0013,0.3888,0.011700000000000044
5071,0.88,Very High Vulnerability,0.157,0.1392,0.0024,0.0206,0.0156,0.0008,0.7918,0.02960000000000007
5073,0.79,High Vulnerability,0.143,0.0268,0.0041,0.004,0.3576,0.0,0.5859,0.021600000000000064
5075,0.65,High Vulnerability,0.154,0.0155,0.0027,0.0015,0.0112,0.0001,0.9526,0.01639999999999997
5077,0.97,Very High Vulnerability,0.113,0.025,0.0024,0.0016,0.5533,0.0,0.4104,0.007299999999999973
5079,0.81,Very High Vulnerability,0.117,0.0393,0.0047,0.0,0.3052,0.0,0.642,0.008799999999999919
5081,0.63,High Vulnerability,0.109,0.0153,0.0104,0.0034,0.2195,0.0,0.7289,0.022499999999999964
5083,0.8,Very High Vulnerability,0.163,0.0298,0.0084,0.0219,0.0138,0.0,0.9044,0.021700000000000053
5085,0.33,Low Vulnerability,0.156,0.0447,0.0065,0.0078,0.0564,0.0027,0.86,0.02190000000000003
5087,0.65,High Vulnerability,0.119,0.0572,0.0102,0.012,0.001,0.0059,0.8933,0.020399999999999974
5089,0.52,Moderate Vulnerability,0.107,0.023,0.0065,0.0089,0.0049,0.0,0.941,0.015700000000000047
5091,0.91,Very High Vulnerability,0.043,0.0333,0.0069,0.004,0.2464,0.0004,0.6847,0.02429999999999999
5093,0.96,Very High Vulnerability,0.12,0.0413,0.0006,0.0056,0.3374,0.0008,0.5828,0.031500000000000083
5095,0.85,Very High Vulnerability,0.148,0.0064,0.003,0.0043,0.4298,0.0,0.5416,0.014900000000000024
5097,0.7,High Vulnerability,0.178,0.0434,0.0147,0.004,0.0029,0.0,0.9093,0.025700000000000056
5099,0.88,Very High Vulnerability,0.101,0.0002,0.0016,0.0004,0.3453,0.0002,0.6281,0.0242
5101,0.28,Low Vulnerability,0.118,0.0042,0.0251,0.0065,0.0003,0.0077,0.9389,0.017300000000000093
5103,0.87,Very High Vulnerability,0.155,0.0234,0.0008,0.0008,0.414,0.0,0.5513,0.009700000000000042
5105,0.64,High Vulnerability,0.194,0.0293,0.0005,0.0,0.0054,0.0,0.9546,0.010199999999999987
5107,0.92,Very High Vulnerability,0.147,0.0188,0.0001,0.0,0.6315,0.0,0.345,0.0046000000000000485
5109,0.71,High Vulnerability,0.141,0.0651,0.0052,0.0043,0.0408,0.0,0.8737,0.01089999999999991
5111,0.83,Very High Vulnerability,0.154,0.0304,0.0009,0.0005,0.0457,0.0,0.8681,0.054400000000000004
5113,0.89,Very High Vulnerability,0.106,0.0659,0.0135,0.0028,0.0047,0.0,0.876,0.03710000000000002
5115,0.79,High Vulnerability,0.164,0.0902,0.0061,0.0103,0.0293,0.0,0.8401,0.02400000000000002
5117,0.65,High Vulnerability,0.114,0.0173,0.0044,0.0021,0.1242,0.0,0.8465,0.005499999999999949
5119,0.63,High Vulnerability,0.224,0.0615,0.0024,0.022,0.3667,0.0003,0.5227,0.024399999999999977
5121,0.72,High Vulnerability,0.12,0.0207,0.0064,0.0012,0.0109,0.0032,0.939,0.01860000000000006
5123,0.97,Very High Vulnerability,0.152,0.0519,0.0029,0.0062,0.5314,0.0014,0.3997,0.00649999999999995
5125,0.33,Low Vulnerability,0.186,0.0476,0.0032,0.0127,0.0709,0.0012,0.8459,0.01849999999999996
5127,0.89,Very High Vulnerability,0.149,0.077,0.019,0.0072,0.0024,0.0,0.8435,0.050899999999999945
5129,0.44,Moderate Vulnerability,0.139,0.0242,0.0176,0.007,0.0061,0.0,0.9313,0.013800000000000034
5131,0.83,Very High Vulnerability,0.141,0.1422,0.0103,0.0448,0.0671,0.0001,0.6956,0.03990000000000005
5133,0.77,High Vulnerability,0.125,0.3343,0.0203,0.0044,0.0479,0.0047,0.5728,0.015600000000000058
5135,0.62,High Vulnerability,0.115,0.0228,0.0033,0.0008,0.0072,0.0,0.9344,0.03149999999999997
5137,0.51,Moderate Vulnerability,0.148,0.0195,0.0046,0.0051,0.0009,0.0,0.9465,0.023399999999999976
