Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Latitude,Longitude
0.94,Very High Concern,0.162,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.198,,,,,,,,,,,,,,,,,,
0.8,Very High Concern,0.172,,,,,,,,,,,,,,,,,,
0.61,High Concern,0.145,,,,,,,,,,,,,,,,,,
0.93,Very High Concern,0.141,,,,,,,,,,,,,,,,,,
0.7,High Concern,0.171,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.201,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.219,,,,,,,,,,,,,,,,,,
0.8,Very High Concern,0.18600000000000005,,,,,,,,,,,,,,,,,,
0.48,Moderate Concern,0.185,,,,,,,,,,,,,,,,,,
0.59,Moderate Concern,0.206,,,,,,,,,,,,,,,,,,
0.67,High Concern,0.119,,,,,,,,,,,,,,,,,,
0.83,Very High Concern,0.179,,,,,,,,,,,,,,,,,,
0.35,Low Concern,0.14,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.16699999999999998,,,,,,,,,,,,,,,,,,
0.95,Very High Concern,0.079,,,,,,,,,,,,,,,,,,
0.82,Very High Concern,0.154,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.183,,,,,,,,,,,,,,,,,,
0.75,High Concern,0.125,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,0.152,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.16699999999999998,,,,,,,,,,,,,,,,,,
0.94,Very High Concern,0.133,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.157,,,,,,,,,,,,,,,,,,
0.79,High Concern,0.14300000000000002,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.154,,,,,,,,,,,,,,,,,,
0.97,Very High Concern,0.113,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.117,,,,,,,,,,,,,,,,,,
0.63,High Concern,0.109,,,,,,,,,,,,,,,,,,
0.8,Very High Concern,0.163,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.156,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.119,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.107,,,,,,,,,,,,,,,,,,
0.91,Very High Concern,0.043,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.12,,,,,,,,,,,,,,,,,,
0.85,Very High Concern,0.14800000000000002,,,,,,,,,,,,,,,,,,
0.7,High Concern,0.17800000000000002,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.101,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.118,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.155,,,,,,,,,,,,,,,,,,
0.64,High Concern,0.194,,,,,,,,,,,,,,,,,,
0.92,Very High Concern,0.147,,,,,,,,,,,,,,,,,,
0.71,High Concern,0.141,,,,,,,,,,,,,,,,,,
0.83,Very High Concern,0.154,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.106,,,,,,,,,,,,,,,,,,
0.79,High Concern,0.16399999999999998,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.114,,,,,,,,,,,,,,,,,,
0.63,High Concern,0.224,,,,,,,,,,,,,,,,,,
0.72,High Concern,0.12,,,,,,,,,,,,,,,,,,
0.97,Very High Concern,0.152,,,,,,,,,,,,,,,,,,
0.33,Low Concern,0.18600000000000005,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.149,,,,,,,,,,,,,,,,,,
0.44,Moderate Concern,0.139,,,,,,,,,,,,,,,,,,
0.83,Very High Concern,0.141,,,,,,,,,,,,,,,,,,
0.77,High Concern,0.125,,,,,,,,,,,,,,,,,,
0.62,High Concern,0.115,,,,,,,,,,,,,,,,,,
0.51,Moderate Concern,0.14800000000000002,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.126,,,,,,,,,,,,,,,,,,
0.72,High Concern,0.162,,,,,,,,,,,,,,,,,,
0.67,High Concern,0.161,,,,,,,,,,,,,,,,,,
0.74,High Concern,0.16,,,,,,,,,,,,,,,,,,
0.85,Very High Concern,0.209,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.17,,,,,,,,,,,,,,,,,,
0.47,Moderate Concern,0.248,,,,,,,,,,,,,,,,,,
0.73,High Concern,,,,,,,,,,,,,,,,,,,
0.53,Moderate Concern,0.17600000000000002,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.214,,,,,,,,,,,,,,,,,,
0.23,Low Concern,0.205,,,,,,,,,,,,,,,,,,
0.74,High Concern,0.16699999999999998,,,,,,,,,,,,,,,,,,
0.41,Moderate Concern,0.261,,,,,,,,,,,,,,,,,,
0.97,Very High Concern,0.129,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.209,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.184,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.197,,,,,,,,,,,,,,,,,,
0.76,High Concern,0.214,,,,,,,,,,,,,,,,,,
1.0,Very High Concern,0.17600000000000002,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,,,,,,,,,,,,,,,,,,,
0.97,Very High Concern,0.152,,,,,,,,,,,,,,,,,,
0.97,Very High Concern,0.108,,,,,,,,,,,,,,,,,,
0.92,Very High Concern,0.236,,,,,,,,,,,,,,,,,,
0.6,Moderate Concern,0.131,,,,,,,,,,,,,,,,,,
0.77,High Concern,0.191,,,,,,,,,,,,,,,,,,
0.95,Very High Concern,0.17600000000000002,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.333,,,,,,,,,,,,,,,,,,
0.53,Moderate Concern,,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.281,,,,,,,,,,,,,,,,,,
0.97,Very High Concern,0.127,,,,,,,,,,,,,,,,,,
0.75,High Concern,,,,,,,,,,,,,,,,,,,
0.14,Very Low Concern,,,,,,,,,,,,,,,,,,,
0.8,High Concern,0.172,,,,,,,,,,,,,,,,,,
0.51,Moderate Concern,0.279,,,,,,,,,,,,,,,,,,
0.2,Low Concern,0.207,,,,,,,,,,,,,,,,,,
0.42,Moderate Concern,0.194,,,,,,,,,,,,,,,,,,
0.15,Very Low Concern,0.248,,,,,,,,,,,,,,,,,,
0.27,Low Concern,,,,,,,,,,,,,,,,,,,
0.79,High Concern,0.17600000000000002,,,,,,,,,,,,,,,,,,
0.73,High Concern,0.189,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.145,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.16,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.179,,,,,,,,,,,,,,,,,,
0.39,Low Concern,0.237,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.168,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.177,,,,,,,,,,,,,,,,,,
0.26,Low Concern,0.264,,,,,,,,,,,,,,,,,,
0.71,High Concern,0.191,,,,,,,,,,,,,,,,,,
0.36,Low Concern,0.21600000000000005,,,,,,,,,,,,,,,,,,
0.54,Moderate Concern,0.244,,,,,,,,,,,,,,,,,,
0.7,High Concern,0.14400000000000002,,,,,,,,,,,,,,,,,,
0.05,Very Low Concern,,,,,,,,,,,,,,,,,,,
0.72,High Concern,0.215,,,,,,,,,,,,,,,,,,
0.59,Moderate Concern,0.188,,,,,,,,,,,,,,,,,,
0.4,Moderate Concern,0.27,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.166,,,,,,,,,,,,,,,,,,
0.88,Very High Concern,0.199,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.125,,,,,,,,,,,,,,,,,,
0.74,High Concern,,,,,,,,,,,,,,,,,,,
0.94,Very High Concern,0.161,,,,,,,,,,,,,,,,,,
0.47,Moderate Concern,0.256,,,,,,,,,,,,,,,,,,
0.48,Moderate Concern,0.215,,,,,,,,,,,,,,,,,,
0.68,High Concern,0.224,,,,,,,,,,,,,,,,,,
0.94,Very High Concern,0.139,,,,,,,,,,,,,,,,,,
0.59,Moderate Concern,0.076,,,,,,,,,,,,,,,,,,
0.95,Very High Concern,0.107,,,,,,,,,,,,,,,,,,
0.27,Low Concern,0.08900000000000001,,,,,,,,,,,,,,,,,,
0.26,Low Concern,0.123,,,,,,,,,,,,,,,,,,
0.61,High Concern,0.078,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.033,,,,,,,,,,,,,,,,,,
0.17,Very Low Concern,0.11,,,,,,,,,,,,,,,,,,
0.05,Very Low Concern,0.115,,,,,,,,,,,,,,,,,,
0.24,Low Concern,0.118,,,,,,,,,,,,,,,,,,
0.26,Low Concern,0.059,,,,,,,,,,,,,,,,,,
0.02,Very Low Concern,0.084,,,,,,,,,,,,,,,,,,
0.93,Very High Concern,0.14800000000000002,,,,,,,,,,,,,,,,,,
0.94,Very High Concern,0.17,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.033,,,,,,,,,,,,,,,,,,
0.24,Low Concern,0.055,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.093,,,,,,,,,,,,,,,,,,
0.42,Moderate Concern,0.08199999999999999,,,,,,,,,,,,,,,,,,
0.15,Very Low Concern,0.123,,,,,,,,,,,,,,,,,,
0.01,Very Low Concern,0.109,,,,,,,,,,,,,,,,,,
0.14,Very Low Concern,0.163,,,,,,,,,,,,,,,,,,
0.0,Very Low Concern,0.076,,,,,,,,,,,,,,,,,,
0.39,Low Concern,0.123,,,,,,,,,,,,,,,,,,
0.65,High Concern,0.087,,,,,,,,,,,,,,,,,,
0.35,Low Concern,0.058,,,,,,,,,,,,,,,,,,
0.0,Very Low Concern,0.067,,,,,,,,,,,,,,,,,,
0.1,Very Low Concern,0.08800000000000001,,,,,,,,,,,,,,,,,,
0.14,Very Low Concern,0.108,,,,,,,,,,,,,,,,,,
