FIPS Code,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
02180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04001,0.0,0.0,3.0,69.0,107.0,71.0,76.0,29.0,22.0,46.0,137.0,166.0,123.0,47.0,17.0,8.0
04003,0.0,0.0,4.0,5.0,13.0,90.0,76.0,21.0,7.0,23.0,137.0,193.0,109.0,31.0,24.0,3.0
04005,0.0,0.0,80.0,137.0,106.0,60.0,90.0,25.0,32.0,85.0,160.0,226.0,219.0,86.0,34.0,10.0
04007,0.0,0.0,0.0,2.0,7.0,55.0,81.0,48.0,30.0,86.0,93.0,118.0,117.0,31.0,7.0,4.0
04009,0.0,0.0,0.0,0.0,3.0,9.0,18.0,16.0,12.0,29.0,71.0,71.0,54.0,14.0,5.0,0.0
04011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04013,5.0,7.0,402.0,725.0,1000.0,3990.0,7183.0,1452.0,581.0,1423.0,6823.0,11158.0,8546.0,2125.0,871.0,409.0
04015,0.0,0.0,11.0,45.0,73.0,148.0,221.0,55.0,24.0,48.0,182.0,492.0,419.0,128.0,66.0,23.0
04017,0.0,0.0,62.0,115.0,182.0,193.0,147.0,45.0,26.0,97.0,184.0,296.0,225.0,131.0,27.0,13.0
04019,4.0,0.0,133.0,258.0,210.0,557.0,728.0,219.0,106.0,263.0,1476.0,2390.0,1475.0,348.0,145.0,66.0
04021,8.0,3.0,39.0,78.0,57.0,301.0,534.0,237.0,95.0,201.0,843.0,1264.0,1038.0,266.0,107.0,41.0
04023,0.0,0.0,0.0,3.0,47.0,119.0,37.0,7.0,1.0,23.0,98.0,123.0,85.0,11.0,9.0,3.0
04025,0.0,0.0,15.0,1.0,7.0,91.0,102.0,35.0,46.0,60.0,274.0,477.0,342.0,97.0,42.0,25.0
04027,0.0,0.0,8.0,47.0,188.0,481.0,314.0,63.0,29.0,101.0,297.0,441.0,217.0,51.0,20.0,7.0
05001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05005,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,37.0,40.0,30.0,13.0,17.0,18.0,5.0
05007,0.0,0.0,6.0,5.0,63.0,109.0,68.0,20.0,42.0,51.0,84.0,93.0,56.0,36.0,29.0,9.0
05009,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,20.0,17.0,20.0,14.0,9.0,14.0,2.0,0.0
05011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05015,0.0,0.0,0.0,0.0,7.0,11.0,8.0,9.0,14.0,16.0,10.0,14.0,10.0,3.0,3.0,4.0
05017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05019,0.0,0.0,7.0,0.0,0.0,0.0,16.0,6.0,4.0,9.0,22.0,39.0,13.0,7.0,0.0,2.0
05021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05023,0.0,0.0,12.0,0.0,0.0,9.0,6.0,3.0,15.0,12.0,15.0,24.0,13.0,10.0,3.0,0.0
05025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05027,0.0,0.0,0.0,3.0,1.0,5.0,19.0,8.0,10.0,6.0,14.0,10.0,11.0,6.0,0.0,0.0
05029,0.0,0.0,0.0,1.0,0.0,7.0,2.0,11.0,2.0,3.0,22.0,35.0,21.0,11.0,3.0,0.0
05031,0.0,0.0,3.0,8.0,14.0,15.0,62.0,43.0,93.0,165.0,165.0,137.0,91.0,48.0,23.0,12.0
05033,0.0,0.0,0.0,0.0,4.0,8.0,22.0,30.0,24.0,48.0,37.0,73.0,55.0,23.0,12.0,2.0
05035,0.0,0.0,12.0,21.0,27.0,35.0,41.0,25.0,13.0,33.0,43.0,40.0,41.0,13.0,12.0,3.0
05037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05045,0.0,0.0,12.0,5.0,1.0,32.0,43.0,24.0,42.0,43.0,76.0,99.0,61.0,29.0,20.0,7.0
05047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05051,0.0,0.0,13.0,2.0,1.0,11.0,46.0,44.0,33.0,43.0,44.0,48.0,56.0,31.0,6.0,2.0
05053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05055,0.0,0.0,0.0,0.0,0.0,8.0,26.0,29.0,23.0,40.0,73.0,55.0,31.0,15.0,3.0,5.0
05057,0.0,0.0,0.0,0.0,2.0,4.0,13.0,5.0,2.0,6.0,12.0,9.0,6.0,1.0,3.0,0.0
05059,0.0,0.0,0.0,3.0,0.0,2.0,49.0,23.0,13.0,24.0,26.0,21.0,22.0,11.0,11.0,0.0
05061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05063,0.0,0.0,0.0,0.0,1.0,0.0,25.0,40.0,33.0,13.0,28.0,39.0,24.0,12.0,3.0,0.0
05065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05069,0.0,0.0,27.0,29.0,16.0,24.0,68.0,82.0,97.0,58.0,36.0,44.0,47.0,26.0,9.0,6.0
05071,0.0,0.0,3.0,1.0,0.0,20.0,19.0,7.0,5.0,7.0,7.0,17.0,14.0,10.0,2.0,0.0
05073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05083,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,7.0,7.0,9.0,12.0,8.0,3.0,5.0,0.0
05085,0.0,0.0,3.0,8.0,3.0,12.0,21.0,30.0,26.0,45.0,59.0,72.0,37.0,26.0,8.0,7.0
05087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05091,0.0,0.0,5.0,4.0,2.0,8.0,24.0,12.0,16.0,20.0,13.0,19.0,5.0,3.0,3.0,0.0
05093,0.0,0.0,0.0,4.0,3.0,20.0,75.0,36.0,35.0,65.0,70.0,62.0,45.0,7.0,5.0,1.0
05095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05103,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,10.0,17.0,14.0,9.0,2.0,1.0,0.0
05105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05111,0.0,0.0,0.0,4.0,1.0,0.0,15.0,29.0,17.0,66.0,43.0,49.0,37.0,10.0,7.0,0.0
05113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05115,0.0,0.0,6.0,6.0,4.0,14.0,47.0,55.0,22.0,39.0,43.0,58.0,61.0,26.0,6.0,9.0
05117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05119,0.0,0.0,40.0,76.0,85.0,147.0,239.0,180.0,205.0,204.0,374.0,418.0,402.0,167.0,77.0,32.0
05121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05123,0.0,0.0,5.0,6.0,20.0,9.0,10.0,15.0,10.0,16.0,24.0,35.0,13.0,3.0,6.0,2.0
05125,0.0,0.0,10.0,2.0,4.0,18.0,52.0,48.0,40.0,61.0,94.0,93.0,60.0,25.0,9.0,6.0
05127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05131,0.0,0.0,0.0,0.0,2.0,36.0,80.0,53.0,56.0,53.0,90.0,106.0,84.0,25.0,10.0,3.0
05133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
