FIPS Code,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,Total
05041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05045,0.0,0.0,48.0,42.0,29.0,502.0,639.0,489.0,799.0,674.0,3222.0
05047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05051,0.0,0.0,72.0,51.0,21.0,155.0,608.0,562.0,494.0,578.0,2541.0
05053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05055,0.0,0.0,0.0,11.0,35.0,67.0,309.0,203.0,260.0,625.0,1510.0
05057,0.0,0.0,0.0,0.0,16.0,44.0,168.0,86.0,41.0,172.0,527.0
05059,0.0,0.0,0.0,17.0,15.0,143.0,909.0,233.0,169.0,318.0,1804.0
05061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05063,0.0,0.0,0.0,0.0,19.0,22.0,382.0,347.0,280.0,185.0,1235.0
05065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05069,0.0,0.0,96.0,135.0,140.0,171.0,671.0,778.0,1250.0,676.0,3917.0
05071,0.0,0.0,11.0,11.0,13.0,256.0,321.0,112.0,102.0,138.0,964.0
05073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05083,0.0,0.0,0.0,0.0,0.0,35.0,145.0,167.0,81.0,145.0,573.0
05085,0.0,0.0,12.0,23.0,15.0,109.0,304.0,306.0,352.0,398.0,1519.0
05087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05091,0.0,0.0,15.0,23.0,31.0,95.0,237.0,157.0,204.0,503.0,1265.0
05093,0.0,0.0,0.0,27.0,35.0,202.0,609.0,478.0,301.0,607.0,2259.0
05095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05103,0.0,0.0,0.0,0.0,0.0,24.0,56.0,81.0,99.0,120.0,380.0
05105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05111,0.0,0.0,0.0,20.0,11.0,28.0,159.0,273.0,173.0,445.0,1109.0
05113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05115,0.0,0.0,19.0,28.0,123.0,376.0,685.0,544.0,346.0,465.0,2586.0
05117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05119,0.0,0.0,181.0,387.0,429.0,1358.0,2808.0,2124.0,1927.0,2384.0,11598.0
05121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05123,0.0,0.0,12.0,113.0,651.0,105.0,238.0,196.0,189.0,224.0,1728.0
05125,0.0,0.0,37.0,35.0,53.0,265.0,537.0,702.0,474.0,642.0,2745.0
05127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05131,0.0,0.0,0.0,0.0,55.0,578.0,1281.0,1003.0,994.0,940.0,4851.0
05133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05139,0.0,0.0,14.0,48.0,116.0,82.0,226.0,270.0,189.0,155.0,1100.0
05141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05143,0.0,0.0,38.0,62.0,681.0,3520.0,1788.0,1018.0,1883.0,1505.0,10495.0
05145,0.0,0.0,27.0,0.0,0.0,52.0,181.0,267.0,288.0,583.0,1398.0
05147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05149,0.0,0.0,0.0,0.0,179.0,508.0,296.0,107.0,68.0,93.0,1251.0
06001,0.0,13.0,640.0,1230.0,1826.0,3351.0,6319.0,5279.0,2441.0,2532.0,23631.0
06003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06005,0.0,0.0,0.0,0.0,0.0,24.0,155.0,86.0,25.0,72.0,362.0
06007,0.0,0.0,14.0,0.0,45.0,219.0,857.0,1234.0,547.0,315.0,3231.0
06009,0.0,0.0,0.0,0.0,0.0,40.0,79.0,125.0,43.0,36.0,323.0
06011,0.0,0.0,0.0,0.0,0.0,86.0,283.0,99.0,60.0,41.0,569.0
06013,0.0,19.0,463.0,519.0,687.0,2414.0,6379.0,4354.0,2606.0,2230.0,19671.0
06015,0.0,0.0,0.0,0.0,41.0,14.0,30.0,28.0,20.0,40.0,173.0
06017,0.0,0.0,27.0,27.0,54.0,175.0,507.0,225.0,213.0,262.0,1490.0
06019,0.0,0.0,230.0,857.0,2033.0,6631.0,11922.0,6145.0,3005.0,3191.0,34014.0
06021,0.0,0.0,0.0,0.0,13.0,142.0,216.0,98.0,128.0,102.0,699.0
06023,0.0,0.0,49.0,0.0,54.0,48.0,103.0,162.0,81.0,80.0,577.0
