,Patients,Hospitalized,ICU,Death
08041,6532.0,601.0,29.0,104.0
08043,144.0,8.0,0.0,0.0
08045,884.0,59.0,0.0,0.0
08047,0.0,0.0,0.0,0.0
08049,0.0,0.0,0.0,0.0
08051,0.0,0.0,0.0,0.0
08053,0.0,0.0,0.0,0.0
08055,0.0,0.0,0.0,0.0
08057,0.0,0.0,0.0,0.0
08059,5223.0,586.0,55.0,176.0
08061,0.0,0.0,0.0,0.0
08063,0.0,0.0,0.0,0.0
08065,0.0,0.0,0.0,0.0
08067,247.0,17.0,1.0,0.0
08069,2138.0,164.0,1.0,11.0
08071,0.0,0.0,0.0,0.0
08073,0.0,0.0,0.0,0.0
08075,768.0,30.0,0.0,0.0
08077,534.0,49.0,2.0,0.0
08079,0.0,0.0,0.0,0.0
08081,0.0,0.0,0.0,0.0
08083,108.0,12.0,0.0,0.0
08085,327.0,32.0,0.0,0.0
08087,699.0,113.0,3.0,12.0
08089,0.0,0.0,0.0,0.0
08091,0.0,0.0,0.0,0.0
08093,0.0,0.0,0.0,0.0
08095,0.0,0.0,0.0,0.0
08097,0.0,0.0,0.0,0.0
08099,0.0,0.0,0.0,0.0
08101,995.0,134.0,11.0,0.0
08103,0.0,0.0,0.0,0.0
08105,0.0,0.0,0.0,0.0
08107,118.0,6.0,0.0,0.0
08109,0.0,0.0,0.0,0.0
08111,0.0,0.0,0.0,0.0
08113,0.0,0.0,0.0,0.0
08115,0.0,0.0,0.0,0.0
08117,366.0,34.0,5.0,0.0
08119,146.0,15.0,0.0,0.0
08121,0.0,0.0,0.0,0.0
08123,4355.0,701.0,23.0,80.0
08125,0.0,0.0,0.0,0.0
09001,20517.0,2012.0,0.0,1145.0
09003,14850.0,2204.0,0.0,1214.0
09005,1929.0,253.0,0.0,108.0
09007,1608.0,276.0,0.0,104.0
09009,14654.0,2656.0,0.0,891.0
09011,2103.0,126.0,0.0,67.0
09013,1274.0,101.0,0.0,11.0
09015,961.0,52.0,0.0,0.0
10001,2612.0,12.0,1.0,0.0
10003,9879.0,22.0,0.0,0.0
10005,6212.0,8.0,0.0,0.0
11001,0.0,0.0,0.0,0.0
12001,5395.0,227.0,0.0,11.0
12003,1299.0,56.0,0.0,0.0
12005,4578.0,273.0,0.0,104.0
12007,1051.0,54.0,0.0,0.0
12009,7405.0,603.0,0.0,304.0
12011,69753.0,4707.0,2.0,1339.0
12013,0.0,0.0,0.0,0.0
12015,2638.0,264.0,0.0,106.0
12017,2612.0,213.0,0.0,103.0
12019,3688.0,255.0,2.0,79.0
12021,10498.0,643.0,0.0,90.0
12023,3125.0,156.0,0.0,31.0
12027,1553.0,86.0,0.0,0.0
12029,0.0,0.0,0.0,0.0
12031,14573.0,900.0,0.0,431.0
12033,9605.0,578.0,0.0,238.0
12035,1444.0,109.0,0.0,0.0
12037,0.0,0.0,0.0,0.0
12039,1813.0,148.0,0.0,0.0
12041,0.0,0.0,0.0,0.0
12043,0.0,0.0,0.0,0.0
12045,0.0,0.0,0.0,0.0
12047,0.0,0.0,0.0,0.0
12049,1254.0,99.0,0.0,0.0
12051,1919.0,153.0,0.0,0.0
12053,2587.0,255.0,0.0,154.0
12055,1996.0,152.0,0.0,29.0
12057,29537.0,1434.0,2.0,706.0
12059,0.0,0.0,0.0,0.0
12061,2421.0,234.0,0.0,64.0
12063,2290.0,122.0,0.0,11.0
12065,0.0,0.0,0.0,0.0
12067,0.0,0.0,0.0,0.0
12069,4053.0,482.0,0.0,137.0
12071,16911.0,1245.0,3.0,429.0
12073,6958.0,184.0,0.0,38.0
12075,928.0,61.0,0.0,0.0
12077,0.0,0.0,0.0,0.0
12079,0.0,0.0,0.0,0.0
12081,8419.0,692.0,0.0,156.0
12083,7676.0,718.0,0.0,243.0
12085,4223.0,289.0,0.0,74.0
12086,125020.0,5811.0,1.0,3967.0
12087,1597.0,89.0,0.0,0.0
12089,1342.0,114.0,0.0,34.0
12091,4374.0,240.0,0.0,98.0
12093,1313.0,107.0,0.0,0.0
12095,22116.0,1158.0,0.0,321.0
12097,9323.0,595.0,0.0,58.0
12099,36947.0,3042.0,1.0,1467.0
12101,8442.0,716.0,0.0,175.0
12103,19588.0,1869.0,0.0,795.0
12105,13811.0,1700.0,0.0,504.0
12107,1944.0,212.0,0.0,0.0
12109,4159.0,208.0,0.0,27.0
12111,5702.0,548.0,0.0,194.0
12113,4637.0,230.0,1.0,35.0
12115,4844.0,539.0,1.0,240.0
12117,6173.0,483.0,0.0,191.0
12119,2001.0,196.0,0.0,25.0
12121,2405.0,108.0,0.0,0.0
12123,1153.0,28.0,0.0,0.0
12125,0.0,0.0,0.0,0.0
12127,8373.0,674.0,0.0,198.0
12129,907.0,33.0,0.0,0.0
12131,1388.0,73.0,0.0,0.0
12133,686.0,36.0,0.0,0.0
13001,0.0,0.0,0.0,0.0
13003,0.0,0.0,0.0,0.0
13005,0.0,0.0,0.0,0.0
13007,0.0,0.0,0.0,0.0
13009,1171.0,12.0,0.0,0.0
13011,0.0,0.0,0.0,0.0
13013,1108.0,10.0,0.0,0.0
13015,2204.0,4.0,0.0,0.0
13017,0.0,0.0,0.0,0.0
13019,0.0,0.0,0.0,0.0
13021,3595.0,44.0,0.0,12.0
13023,0.0,0.0,0.0,0.0
13025,0.0,0.0,0.0,0.0
13027,0.0,0.0,0.0,0.0
13029,741.0,3.0,0.0,0.0
13031,2053.0,3.0,0.0,0.0
13033,309.0,0.0,0.0,0.0
13035,386.0,5.0,0.0,0.0
13037,0.0,0.0,0.0,0.0
13039,1073.0,1.0,0.0,0.0
13043,0.0,0.0,0.0,0.0
13045,1952.0,5.0,0.0,0.0
13047,1061.0,1.0,0.0,0.0
13049,0.0,0.0,0.0,0.0
13051,5121.0,24.0,0.0,13.0
13053,0.0,0.0,0.0,0.0
13055,594.0,0.0,0.0,0.0
13057,4612.0,46.0,0.0,0.0
13059,3568.0,7.0,0.0,0.0
13061,0.0,0.0,0.0,0.0
13063,4615.0,9.0,0.0,0.0
13065,0.0,0.0,0.0,0.0
13067,13038.0,26.0,2.0,0.0
13069,1533.0,51.0,0.0,13.0
13071,1497.0,4.0,0.0,0.0
13073,2167.0,6.0,0.0,0.0
13075,0.0,0.0,0.0,0.0
13077,1396.0,1.0,0.0,0.0
13079,0.0,0.0,0.0,0.0
13081,469.0,3.0,0.0,0.0
13083,0.0,0.0,0.0,0.0
13085,232.0,2.0,0.0,0.0
13087,723.0,5.0,0.0,0.0
13089,11340.0,57.0,1.0,0.0
13091,449.0,2.0,0.0,0.0
13093,0.0,0.0,0.0,0.0
13095,1585.0,40.0,0.0,0.0
13097,2068.0,10.0,0.0,0.0
13099,0.0,0.0,0.0,0.0
13101,0.0,0.0,0.0,0.0
13103,1030.0,6.0,0.0,0.0
13105,0.0,0.0,0.0,0.0
13107,0.0,0.0,0.0,0.0
13109,0.0,0.0,0.0,0.0
13111,516.0,7.0,0.0,0.0
13113,1122.0,3.0,1.0,0.0
13115,2278.0,0.0,0.0,0.0
13117,1999.0,23.0,0.0,0.0
13119,375.0,5.0,0.0,0.0
13121,17373.0,49.0,1.0,14.0
13123,756.0,4.0,0.0,0.0
13125,0.0,0.0,0.0,0.0
13127,2263.0,3.0,0.0,0.0
13129,1427.0,2.0,1.0,0.0
13131,484.0,13.0,0.0,0.0
13133,0.0,0.0,0.0,0.0
13135,15985.0,76.0,0.0,0.0
13137,655.0,4.0,0.0,0.0
13139,3347.0,22.0,0.0,0.0
13141,0.0,0.0,0.0,0.0
13143,318.0,0.0,0.0,0.0
13145,460.0,3.0,0.0,0.0
13147,255.0,0.0,0.0,0.0
13149,0.0,0.0,0.0,0.0
13151,3378.0,2.0,0.0,0.0
